[574.190378189] 2018-07-25 01:05:46,622 - INFO - launcher: Starting sanity checks
[574.190378189] 2018-07-25 01:05:46,622 - INFO - launcher: Checking for Python 3.5+
[587.184429169] 2018-07-25 01:05:46,635 - INFO - launcher: Checking console encoding
[587.184429169] 2018-07-25 01:05:46,635 - INFO - launcher: Setting console encoding to UTF-8
[587.184429169] 2018-07-25 01:05:46,635 - INFO - launcher: Ensuring we're in the right environment
[618.164539337] 2018-07-25 01:05:46,666 - INFO - launcher: Adding local bins/ folder to path
[619.174718857] 2018-07-25 01:05:46,667 - INFO - launcher: Required checks passed.
[620.162963867] 2018-07-25 01:05:46,668 - INFO - launcher: Optional checks passed.
[632.156133652] 2018-07-25 01:05:46,680 - INFO - launcher: Moving old musicbot log

######################### PRE-RUN SANITY CHECKS PASSED #########################

[27.1327326297760010] 2018-07-25 01:06:13,181 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 376 in join_voice_channel: (join_voice_channel) creating futures
[27.1337332725524902] 2018-07-25 01:06:13,182 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 382 in join_voice_channel: (join_voice_channel) setting voice state
[27.1347346305847168] 2018-07-25 01:06:13,183 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 385 in join_voice_channel: (join_voice_channel) waiting for session id
[27.2690548896789551] 2018-07-25 01:06:13,317 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 2564 in on_voice_state_update: Voice state update for 418494189123272704/iTirex_Bot#2607 on Mafia Siciliana/🌪🗡League Of Legends🔪🔥 -> [JOIN, CONNECT]
[27.2700536251068115] 2018-07-25 01:06:13,318 - INFO - musicbot.bot | In bot.py::MainThread(564), line 2575 in on_voice_state_update: 418494189123272704/iTirex_Bot#2607 has joined Mafia Siciliana/🌪🗡League Of Legends🔪🔥
[27.2720506191253662] 2018-07-25 01:06:13,320 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 389 in join_voice_channel: (join_voice_channel) waiting for voice data
[27.4850072860717773] 2018-07-25 01:06:13,533 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 403 in join_voice_channel: (join_voice_channel) connecting...
[27.8597881793975830] 2018-07-25 01:06:13,908 - VOICEDEBUG - musicbot.bot | In bot.py::MainThread(564), line 415 in join_voice_channel: (join_voice_channel) connection successful
[27.8597881793975830] 2018-07-25 01:06:13,908 - DEBUG - musicbot.bot | In bot.py::MainThread(564), line 463 in get_voice_client: Connected in 0.7s
[27.8597881793975830] 2018-07-25 01:06:13,908 - INFO - musicbot.bot | In bot.py::MainThread(564), line 464 in get_voice_client: Connected to Mafia Siciliana/🌪🗡League Of Legends🔪🔥
[27.8607971668243408] 2018-07-25 01:06:13,909 - DEBUG - musicbot.bot | In bot.py::MainThread(564), line 805 in deserialize_queue: Deserializing queue for 469651332324786197
[28.4634408950805664] 2018-07-25 01:06:14,511 - DEBUG - musicbot.bot | In bot.py::MainThread(564), line 555 in get_player: Created player via deserialization for server 469651332324786197 with 2 entries
[28.4634408950805664] 2018-07-25 01:06:14,511 - INFO - musicbot.bot | In bot.py::MainThread(564), line 283 in _join_startup_channels: Joined Mafia Siciliana/🌪🗡League Of Legends🔪🔥
[28.4644405841827393] 2018-07-25 01:06:14,512 - VOICEDEBUG - musicbot.player | In player.py::MainThread(564), line 311 in websocket_check: Starting websocket check loop for Mafia Siciliana
[28.4654412269592285] 2018-07-25 01:06:14,513 - FFMPEG - musicbot.player | In player.py::MainThread(564), line 268 in _play: Creating player with options: -nostdin -vn audio_cache\youtube-7Rb7pnjbe4Q-I_Hate_You_I_Love_You_-_lyrics.webm
